"","cor_type","x","y","session","r","lower","upper","sig","estimate","estimate_lab","lower_lab","upper_lab","estimate_CI","SR_sort"
"119","SR-ORL","masqAD","Apun",1,-0.116370788709172,-0.41,0.21,"",-0.12,"-.12","-.41",".21","-.12 [-.41,.21]",11
"120","SR-ORL","masqAD","Arew",1,-0.267343665234359,-0.51,0,"*",-0.27,"-.27","-.51","-.00","-.27 [-.51,-.00]",11
"121","SR-ORL","masqGDD","betaB",1,0.155360633234512,-0.12,0.43,"",0.16," .16","-.12",".43"," .16 [-.12,.43]",10
"122","SR-ORL","masqGDD","betaF",1,0.0186625440944509,-0.25,0.26,"",0.02," .02","-.25",".26"," .02 [-.25,.26]",10
"123","SR-ORL","masqGDD","Apun",1,0.279884022694388,-0.09,0.6,"",0.28," .28","-.09",".60"," .28 [-.09,.60]",10
"124","SR-ORL","masqGDD","Arew",1,-0.122856042696083,-0.31,0.08,"",-0.12,"-.12","-.31",".08","-.12 [-.31,.08]",10
"125","SR-ORL","masqAA","betaB",1,0.0980985305201607,-0.09,0.3,"",0.1," .10","-.09",".30"," .10 [-.09,.30]",9
"126","SR-ORL","masqAA","betaF",1,-0.138212413257773,-0.43,0.17,"",-0.14,"-.14","-.43",".17","-.14 [-.43,.17]",9
"127","SR-ORL","masqAA","Apun",1,0.162330218698432,-0.18,0.57,"",0.16," .16","-.18",".57"," .16 [-.18,.57]",9
"128","SR-ORL","masqAA","Arew",1,-0.083945828554462,-0.3,0.13,"",-0.08,"-.08","-.30",".13","-.08 [-.30,.13]",9
"129","SR-ORL","masqGDA","betaB",1,0.143857706381752,-0.09,0.36,"",0.14," .14","-.09",".36"," .14 [-.09,.36]",8
"130","SR-ORL","masqGDA","betaF",1,-0.0111085334402192,-0.3,0.25,"",-0.01,"-.01","-.30",".25","-.01 [-.30,.25]",8
"131","SR-ORL","masqGDA","Apun",1,0.26778391159857,-0.09,0.6,"",0.27," .27","-.09",".60"," .27 [-.09,.60]",8
"132","SR-ORL","masqGDA","Arew",1,-0.22815580527541,-0.44,0.02,"",-0.23,"-.23","-.44",".02","-.23 [-.44,.02]",8
"133","SR-ORL","prdep_tot","betaB",1,0.144979382460949,-0.21,0.46,"",0.14," .14","-.21",".46"," .14 [-.21,.46]",13
"134","SR-ORL","prdep_tot","betaF",1,0.0130999551690527,-0.28,0.28,"",0.01," .01","-.28",".28"," .01 [-.28,.28]",13
"135","SR-ORL","prdep_tot","Apun",1,-0.0708054532026894,-0.35,0.23,"",-0.07,"-.07","-.35",".23","-.07 [-.35,.23]",13
"136","SR-ORL","prdep_tot","Arew",1,-0.21499676590933,-0.46,0.04,"",-0.21,"-.21","-.46",".04","-.21 [-.46,.04]",13
