ID,Fit_sep_IGT_Arew,Fit_sep_IGT_Apun,Fit_sep_IGT_K,Fit_sep_IGT_betaF,Fit_sep_IGT_betaP,Fit_sep_SIGT_v1_Arew,Fit_sep_SIGT_v1_Apun,Fit_sep_SIGT_v1_K,Fit_sep_SIGT_v1_betaF,Fit_sep_SIGT_v1_betaP,Fit_sep_SIGT_v2_Arew,Fit_sep_SIGT_v2_Apun,Fit_sep_SIGT_v2_K,Fit_sep_SIGT_v2_betaF,Fit_sep_SIGT_v2_betaP,Fit_sep_SIGT_v3_Arew,Fit_sep_SIGT_v3_Apun,Fit_sep_SIGT_v3_K,Fit_sep_SIGT_v3_betaF,Fit_sep_SIGT_v3_betaP
7038,0.286333432,0.101075035,0.058068728,1.761752194,0.165383606,0.001049146,0.365036867,0.042311154,0.928173564,1.253841493,0.001019919,0.324431578,0.043760347,1.007286841,1.266070774,0.001279131,0.407078856,0.037934522,0.720334743,1.307927378
7039,0.329061197,0.024779016,0.056535133,1.313662699,-0.009956913,0.001162898,0.366749173,0.044773311,1.207977195,0.421204495,0.001105263,0.328893494,0.045608326,1.302624019,0.435284539,0.001434284,0.41897026,0.042102556,1.017908308,0.41751337
7040,0.136776417,0.060028457,0.083696582,1.172748207,1.64746946,0.002069915,0.372992898,0.041863056,0.74218995,1.177977001,0.002364749,0.329380887,0.043270901,0.812797601,1.178855003,0.002752731,0.423674368,0.035975154,0.366347495,1.354592338
7041,0.14891971,0.12227,0.020173024,1.946052972,1.975195374,0.062080938,0.382748655,0.04682547,1.129501466,0.722148075,0.068494852,0.339362316,0.047704838,1.277538076,1.196205888,0.058176196,0.437523559,0.045964529,0.88668799,0.747050222
7042,0.074290062,0.172276309,0.074210557,1.651722665,2.314389194,0.000877972,0.459933745,0.039737348,1.184695337,2.319345094,0.000950307,0.444121813,0.041380963,1.222142979,2.326552262,0.001082613,0.563628125,0.03545868,1.029063494,2.360957412
7043,0.214823119,0.057443612,0.025942042,1.55715109,3.66650746,0.031286301,0.385284152,0.046471914,1.064561231,1.487304838,0.038889504,0.342485089,0.047224146,1.189359541,1.71444516,0.029843912,0.442096139,0.044932248,0.81127603,1.559441932
7044,0.264869419,0.030308344,0.056351267,1.519742889,0.20008402,0.003539272,0.383823967,0.044978299,1.04856833,0.373653627,0.004056729,0.343820515,0.045777051,1.127207334,0.415133292,0.003983956,0.438452684,0.042710194,0.749440091,0.438838177
7045,0.162274217,0.128268478,0.077722987,1.592768624,0.856104424,0.001021905,0.408450185,0.043899842,1.195240529,1.463918542,0.000932015,0.379002103,0.044818615,1.265258944,1.482106145,0.001238118,0.460786198,0.040410707,0.944894649,1.496086968
7046,0.080440105,0.173383486,0.026765612,1.27360868,2.743600756,0.001142001,0.364400466,0.047060102,0.757628402,3.00206417,0.001393292,0.318298913,0.047286084,0.843083003,2.976601178,0.001363986,0.413165523,0.044084639,0.329924692,3.165512806
7048,0.19477123,0.077052768,0.054335809,1.167819155,0.068464479,0.001046371,0.444369645,0.042838294,1.409730371,0.719798542,0.001260599,0.429448971,0.044035141,1.459299968,0.714013495,0.001361868,0.520064936,0.038244521,1.049752514,0.854588965
7049,0.077742709,0.123864194,0.024028214,1.686953301,1.783283245,0.009653791,0.399056463,0.045111761,0.853538093,0.374540773,0.01259612,0.363454838,0.045925238,0.899577369,0.417784791,0.009888339,0.455149294,0.042798793,0.705266675,0.358478281
