"","parameter","ID","blup_session1","blup_session2","blup_overall","subject"
"188","betaF",41,2.71978665318723,3.1345961369517,2.92719139506946,2091
"189","betaF",42,0.955306583783706,1.86091186013479,1.40810922195925,2092
"190","betaF",43,0.16731479448496,0.364280347418243,0.265797570951602,2093
"191","betaF",44,0.129328138964371,0.325723722068468,0.227525930516419,2094
"192","betaF",45,0.296496637773067,-0.0491524321020707,0.123672102835498,2095
"193","betaF",46,0.50009634174038,0.668409095718399,0.58425271872939,2096
"194","betaF",47,1.74779804183118,0.566681489024561,1.15723976542787,2097
"195","betaF",48,0.150854863714482,0.343997026600403,0.247425945157442,2098
"196","betaF",49,1.79588793827044,1.74085880226784,1.76837337026914,2099
"197","betaP",1,0.00223492269414304,0.716159241705761,0.359197082199952,2049
"198","betaP",2,0.896716062337761,1.78244730965314,1.33958168599545,2050
"199","betaP",3,1.12273695508118,1.0140591810638,1.06839806807249,2051
"200","betaP",4,-0.484706709901446,0.0512984615859355,-0.216704124157755,2052
"201","betaP",5,2.38589514454947,2.71676257478409,2.55132885966678,2053
"202","betaP",6,0.194192999090822,-0.0398510873594466,0.0771709558656876,2054
"203","betaP",7,1.05246491989357,1.86746915951063,1.4599670397021,2055
"204","betaP",8,-1.11992978823441,-3.17369370271421,-2.14681174547431,2056
"205","betaP",9,0.65050248042526,1.0753641548917,0.862933317658482,2057
"206","betaP",10,0.928666462209396,1.68419485861332,1.30643066041136,2058
"207","betaP",11,1.64824736894698,1.99150307476549,1.81987522185624,2060
"208","betaP",12,0.784581316981565,0.875010311251527,0.829795814116546,2061
"209","betaP",13,1.02701383399693,0.910077032994503,0.968545433495715,2062
"210","betaP",14,-0.666718876130963,-0.0983116686985758,-0.382515272414769,2063
"211","betaP",15,0.175250602175462,0.643651427916946,0.409451015046204,2064
"212","betaP",16,0.678017771931785,1.62491420072761,1.1514659863297,2065
"213","betaP",17,0.820052460769635,0.723526537189982,0.771789498979808,2066
"214","betaP",18,1.06656204282939,1.44771120073182,1.2571366217806,2067
"215","betaP",19,0.929342510964428,1.54942678479798,1.2393846478812,2068
"216","betaP",20,2.11388279898921,2.36899043465712,2.24143661682316,2069
"217","betaP",21,1.54460426076652,1.45421851866666,1.49941138971659,2070
"218","betaP",22,-0.347522518845087,-1.33423989327251,-0.840881206058797,2071
"219","betaP",23,2.43293166907779,3.19150195999195,2.81221681453487,2072
"220","betaP",24,1.19024553212274,2.77704857412999,1.98364705312637,2073
"221","betaP",25,0.931825553872406,1.53079471946545,1.23131013666893,2074
"222","betaP",26,1.12443899096039,2.98169004465613,2.05306451780826,2075
"223","betaP",27,0.589592725897047,1.86417957907366,1.22688615248535,2076
"224","betaP",28,1.06256978097303,2.26033518488512,1.66145248292907,2077
"225","betaP",29,-2.52128707332511,-1.82954703683909,-2.1754170550821,2078
"226","betaP",30,0.778729519741165,0.916145149496919,0.847437334619042,2079
"227","betaP",31,0.777041077303759,1.24601215137348,1.01152661433862,2080
"228","betaP",32,0.530764881774464,0.742384254684877,0.636574568229671,2081
"229","betaP",33,0.064836769975601,0.980037602969799,0.5224371864727,2082
"230","betaP",34,1.1602510859334,0.679359077700172,0.919805081816787,2084
"231","betaP",35,-0.285551246436009,0.655662558528208,0.1850556560461,2085
"232","betaP",36,2.29031127394259,2.55760098861208,2.42395613127733,2086
"233","betaP",37,0.286851904070477,-0.183256248522307,0.0517978277740848,2087
"234","betaP",38,1.10540088687822,1.41173647606343,1.25856868147082,2088
"235","betaP",39,-0.0369572653069468,1.30460640024226,0.633824567467659,2089
"236","betaP",40,1.0175109081606,1.39133973970824,1.20442532393442,2090
"237","betaP",41,0.480682922715401,0.555831318051258,0.518257120383329,2091
"238","betaP",42,0.887218814522572,1.94609812608362,1.41665847030309,2092
"239","betaP",43,0.97160481682527,1.36955773658147,1.17058127670337,2093
"240","betaP",44,1.32356614996024,1.67966819219044,1.50161717107534,2094
"241","betaP",45,-0.252670096335603,1.73461924569763,0.740974574681016,2095
"242","betaP",46,1.13800486676842,1.52984016883658,1.3339225178025,2096
"243","betaP",47,0.548386272252259,1.76632325016369,1.15735476120797,2097
"244","betaP",48,1.29896404492842,1.66659541904405,1.48277973198623,2098
"245","betaP",49,0.300344955595253,-0.0103603544083012,0.144992300593476,2099
